delay_fs,phase_rad,opl_nm,transmittance
9.470000000000000000e+02,-4.065373906734187637e-02,-3.332175416783812683e+00,9.493559363782417826e-01
9.800000000000000000e+02,-3.526458612827181732e-02,-2.890454597178236718e+00,9.341749203674614144e-01
1.013000000000000000e+03,-3.047790501688333112e-02,-2.498115257838962933e+00,9.449739995767574285e-01
1.046000000000000000e+03,-1.538321164015044734e-02,-1.260881799176744034e+00,9.565824737671607680e-01
1.079000000000000000e+03,-2.864762001234020736e-02,-2.348096321382857621e+00,9.295242320424565996e-01
1.112000000000000000e+03,-1.621199722054449122e-02,-1.328813039946487917e+00,9.685582023126104723e-01
1.145000000000000000e+03,-1.194137463019347319e-02,-9.787723318493340985e-01,9.635378298288527210e-01
1.178000000000000000e+03,7.896557194335712682e-03,6.472396971064945381e-01,9.450365949450184599e-01
1.211000000000000000e+03,1.469330721574893875e-02,1.204333923983442522e+00,9.235712467134432613e-01
1.244000000000000000e+03,1.841704798961060763e-02,1.509549575724198567e+00,9.843982123586852984e-01
1.277000000000000000e+03,8.786023230217387264e-03,7.201445990127992580e-01,9.705995505085639463e-01
1.310000000000000000e+03,2.952883527902765148e-02,2.420324950677852804e+00,9.681677637409450421e-01
1.343000000000000000e+03,3.953980196654866691e-02,3.240871789903195577e+00,9.760568675583397580e-01
1.376000000000000000e+03,4.702579244636089645e-02,3.854459470135703114e+00,1.018948078714495997e+00
1.409000000000000000e+03,4.177886113909668603e-02,3.424395817524122254e+00,9.832536765217771979e-01
1.442000000000000000e+03,6.058119342841430943e-02,4.965525142157267702e+00,9.874428043853946679e-01
1.475000000000000000e+03,4.472063678955438132e-02,3.665517857686547476e+00,9.572975667097455288e-01
1.508000000000000000e+03,5.151650968889531085e-02,4.222540191432042178e+00,1.021194173834575558e+00
1.541000000000000000e+03,6.357257499272053747e-02,5.210713120913418983e+00,1.007702579822103761e+00
1.574000000000000000e+03,6.003768291230483778e-02,4.920976413747723655e+00,1.011700285760554596e+00
1.607000000000000000e+03,7.338095620572054889e-02,6.014655083109413880e+00,9.922317552733609380e-01
1.640000000000000000e+03,6.335120489729875737e-02,5.192568566269781805e+00,1.010444616688181751e+00
1.673000000000000000e+03,5.907874647841997867e-02,4.842377384862423639e+00,1.000289292797844620e+00
1.706000000000000000e+03,6.105351190868929523e-02,5.004238629894716794e+00,1.005808326391489649e+00
1.739000000000000000e+03,5.693379342609315719e-02,4.666566746158824941e+00,9.911105177027021984e-01
1.772000000000000000e+03,5.575602599772829654e-02,4.570031279519822576e+00,9.652365450491545706e-01
1.805000000000000000e+03,6.719104292891149577e-02,5.507300106022543495e+00,1.015776638652506225e+00
1.838000000000000000e+03,6.645921374079861998e-02,5.447315876137190926e+00,9.569787452184971288e-01
1.871000000000000000e+03,7.026306449156886902e-02,5.759097725768175025e+00,9.912786272612014171e-01
1.904000000000000000e+03,5.709459019715434208e-02,4.679746420646839766e+00,9.923611781397507769e-01
1.937000000000000000e+03,7.123820539544782615e-02,5.839024950725844043e+00,9.759238312503353274e-01
1.970000000000000000e+03,5.830153250198068238e-02,4.778673200074356586e+00,1.009350735068423210e+00
2.003000000000000000e+03,6.872031075523940546e-02,5.632646230966358303e+00,9.933517972470088386e-01
